xflr5 v6.47

ELTA
T1-50.0 m/s-VLM2-Inviscid
QInf  =   50.000000 m/s
Alpha =  -10.000000
Beta  =    0.000
Phi   =    0.000
Ctrl  =    0.000
CL    =   -0.230952
Cy    =   -0.000000
Cd    =    0.002193     ICd   =    0.002193     PCd   =    0.000000
Cl   = -1.69615e-16
Cm   =  -0.0326717
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =   -0.175960     YCP   =   -0.000000     ZCP   =    0.040648  
XNP   =    0.000000
Bending = -8052.487780

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  20       5.524e-01      -6.221e+00       3.051e-02          -0.010          -0.003           1.000       5.841e-03          0.0921
  21       4.633e-01      -6.221e+00       2.852e-02          -0.064          -0.005           0.998       5.337e-03         -0.0336
  22       3.835e-01      -6.221e+00       2.257e-02          -0.112          -0.007           0.994       4.531e-03         -0.2765
  23       3.175e-01      -6.221e+00       1.459e-02          -0.150          -0.010           0.989       3.457e-03         -0.7362
  24       2.693e-01      -6.221e+00       7.020e-03          -0.177          -0.012           0.984       2.168e-03         -1.7834
  25       2.415e-01      -6.221e+00       2.178e-03          -0.123          -0.010           0.992       7.307e-04         -4.5888
Strip 3
  26       1.018e+00      -6.136e+00      -2.081e-03           0.134           0.003           0.991       1.234e-03          0.0735
  27       1.001e+00      -6.136e+00       1.802e-04           0.128           0.002           0.992       3.627e-03          0.1183
  28       9.617e-01      -6.136e+00       5.046e-03           0.116           0.002           0.993       5.801e-03          0.1524
  29       9.032e-01      -6.136e+00       1.157e-02           0.099           0.002           0.995       7.630e-03          0.1709
  30       8.286e-01      -6.136e+00       1.854e-02           0.077           0.002           0.997       9.008e-03          0.1688
  31       7.422e-01      -6.136e+00       2.467e-02           0.053           0.001           0.999       9.862e-03          0.1498
  32       6.490e-01      -6.136e+00       2.897e-02           0.026          -0.001           1.000       1.015e-02          0.1255
  33       5.544e-01      -6.136e+00       3.069e-02          -0.007          -0.003           1.000       9.848e-03          0.0802
  34       4.639e-01      -6.136e+00       2.890e-02          -0.061          -0.005           0.998       8.998e-03         -0.1059
  35       3.828e-01      -6.136e+00       2.305e-02          -0.110          -0.007           0.994       7.638e-03         -0.4453
  36       3.157e-01      -6.136e+00       1.511e-02          -0.148          -0.010           0.989       5.826e-03         -1.0240
  37       2.667e-01      -6.136e+00       7.543e-03          -0.175          -0.012           0.985       3.653e-03         -2.2152
  38       2.385e-01      -6.136e+00       2.693e-03          -0.121          -0.010           0.993       1.232e-03         -5.5250
Strip 4
  39       1.032e+00      -6.009e+00      -4.327e-03           0.138           0.002           0.990       1.757e-03          0.0782
  40       1.014e+00      -6.009e+00      -1.948e-03           0.132           0.002           0.991       5.166e-03          0.1263
  41       9.745e-01      -6.009e+00       3.180e-03           0.120           0.002           0.993       8.263e-03          0.1643
  42       9.146e-01      -6.009e+00       1.008e-02           0.103           0.002           0.995       1.087e-02          0.1854
  43       8.382e-01      -6.009e+00       1.749e-02           0.081           0.001           0.997       1.283e-02          0.1823
  44       7.498e-01      -6.009e+00       2.409e-02           0.056           0.001           0.998       1.404e-02          0.1559
  45       6.543e-01      -6.009e+00       2.884e-02           0.030          -0.001           1.000       1.445e-02          0.1156
  46       5.574e-01      -6.009e+00       3.096e-02          -0.004          -0.003           1.000       1.402e-02          0.0424
  47       4.648e-01      -6.009e+00       2.946e-02          -0.057          -0.005           0.998       1.281e-02         -0.1845
  48       3.817e-01      -6.009e+00       2.377e-02          -0.106          -0.007           0.994       1.087e-02         -0.5712
  49       3.131e-01      -6.009e+00       1.589e-02          -0.144          -0.009           0.989       8.290e-03         -1.1986
  50       2.628e-01      -6.009e+00       8.323e-03          -0.171          -0.011           0.985       5.198e-03         -2.4721
  51       2.339e-01      -6.009e+00       3.461e-03          -0.117          -0.010           0.993       1.753e-03         -6.1067
Strip 5
  52       1.050e+00      -5.841e+00      -7.297e-03           0.142           0.002           0.990       2.310e-03          0.0791
  53       1.032e+00      -5.841e+00      -4.762e-03           0.136           0.002           0.991       6.789e-03          0.1276
  54       9.914e-01      -5.841e+00       7.123e-04           0.124           0.002           0.992       1.086e-02          0.1657
  55       9.297e-01      -5.841e+00       8.110e-03           0.107           0.002           0.994       1.428e-02          0.1861
  56       8.509e-01      -5.841e+00       1.611e-02           0.085           0.001           0.996       1.685e-02          0.1800
  57       7.597e-01      -5.841e+00       2.333e-02           0.061           0.000           0.998       1.845e-02          0.1469
  58       6.613e-01      -5.841e+00       2.867e-02           0.035          -0.001           0.999       1.898e-02          0.0947
  59       5.614e-01      -5.841e+00       3.131e-02           0.001          -0.003           1.000       1.841e-02          0.0049
  60       4.659e-01      -5.841e+00       3.020e-02          -0.053          -0.005           0.999       1.682e-02         -0.2413
  61       3.803e-01      -5.841e+00       2.473e-02          -0.102          -0.007           0.995       1.427e-02         -0.6473
  62       3.095e-01      -5.841e+00       1.692e-02          -0.140          -0.009           0.990       1.088e-02         -1.2973
